GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4901: Average monthly shelter costs for rented dwellings ($),v_CA16_409: Single-detached house,v_CA16_408: Occupied private dwellings by structural type of dwelling data,v_CA16_410: Apartment in a building that has five or more storeys
59150627,DA,Vancouver,0.09261,521,315,295,1678,5,295,45
59150628,DA,Vancouver,0.06694,680,455,430,1268,10,430,30
59150629,DA,Vancouver,0.05166,531,394,347,1212,5,350,0
59150630,DA,Vancouver,0.28375,1216,801,758,1494,5,755,230
59150631,DA,Vancouver,0.0484,1140,735,708,1256,0,705,515
59150632,DA,Vancouver,0.15334,1270,749,722,1553,0,720,400
59150633,DA,Vancouver,0.05408,705,439,427,1366,5,425,95
59150634,DA,Vancouver,0.03503,518,359,352,1199,0,355,0
59150635,DA,Vancouver,0.03631,571,353,345,1382,0,345,0
59150636,DA,Vancouver,0.03587,723,423,396,1388,0,395,255
59150637,DA,Vancouver,0.08805,483,309,300,1537,5,300,145
59150638,DA,Vancouver,0.0557,660,432,420,1392,0,420,80
59150639,DA,Vancouver,0.02726,510,351,338,1745,0,340,245
59150640,DA,Vancouver,0.03773,449,268,260,1215,0,260,130
59150641,DA,Vancouver,0.03561,685,437,435,1363,0,435,120
59150642,DA,Vancouver,0.03716,645,427,421,1189,0,420,75
59150643,DA,Vancouver,0.03515,614,416,412,1189,5,415,60
59150644,DA,Vancouver,0.03622,628,433,427,1155,0,430,65
59150645,DA,Vancouver,0.07077,484,260,257,1263,15,255,40
59150646,DA,Vancouver,0.03671,586,411,403,1160,5,405,5
59150647,DA,Vancouver,0.036,571,310,307,1644,0,305,0
59150648,DA,Vancouver,0.01931,429,147,144,1092,0,140,0
59150649,DA,Vancouver,0.18658,672,392,371,1484,0,375,220
59150650,DA,Vancouver,0.03443,468,252,246,1504,5,245,0
59150651,DA,Vancouver,0.02894,392,219,182,1254,0,180,0
59150652,DA,Vancouver,0.04038,718,350,339,1327,15,340,0
59150653,DA,Vancouver,0.04461,475,272,263,1262,20,265,0
59150654,DA,Vancouver,0.0587,615,311,298,1354,30,295,0
59150655,DA,Vancouver,0.06173,496,217,212,1460,30,215,0
59150656,DA,Vancouver,0.07896,439,278,254,1279,25,250,0
59150657,DA,Vancouver,0.43618,496,217,188,1586,105,190,0
59150658,DA,Vancouver,0.12515,683,302,281,1518,65,280,0
59150659,DA,Vancouver,0.20153,591,238,224,1648,95,225,0
59150660,DA,Vancouver,0.26629,476,177,158,0,120,155,0
59150661,DA,Vancouver,0.30279,538,187,169,0,140,170,0
59150662,DA,Vancouver,0.28185,429,142,125,0,110,125,0
59150663,DA,Vancouver,0.27761,446,157,139,0,125,140,0
59150664,DA,Vancouver,0.27673,493,177,166,0,145,165,0
59150665,DA,Vancouver,0.17004,475,176,164,0,150,160,0
59150666,DA,Vancouver,0.28813,423,138,130,0,125,130,0
59150667,DA,Vancouver,0.22727,462,155,142,0,120,145,0
59150668,DA,Vancouver,0.3882,491,235,222,0,65,225,70
59150669,DA,Vancouver,0.08703,572,138,127,2028,30,125,0
59150670,DA,Vancouver,0.18885,523,187,170,2831,145,170,0
59150671,DA,Vancouver,0.41176,572,103,101,0,50,100,0
59150672,DA,Vancouver,0.17122,651,403,273,2121,85,270,110
59150673,DA,Vancouver,0.14447,444,172,164,2201,80,165,0
59150674,DA,Vancouver,0.11252,488,180,163,1747,100,160,0
59150675,DA,Vancouver,0.09138,667,308,306,1266,50,305,0
59150676,DA,Vancouver,0.08139,546,282,265,1388,55,265,0
59150677,DA,Vancouver,0.08939,523,215,181,1369,75,180,0
59150678,DA,Vancouver,0.0832,594,271,256,1468,45,260,0
59150679,DA,Vancouver,0.06405,414,216,190,1289,20,190,0
59150680,DA,Vancouver,0.11936,665,331,315,1890,20,315,0
59150681,DA,Vancouver,0.06098,445,203,178,1744,10,175,0
59150682,DA,Vancouver,0.10163,738,353,311,1296,55,310,0
59150683,DA,Vancouver,0.09156,571,224,214,1850,85,210,0
59150684,DA,Vancouver,0.09461,764,373,346,1304,45,345,85
59150685,DA,Vancouver,0.11034,947,401,372,1392,65,370,0
59150686,DA,Vancouver,0.04568,327,173,151,1219,15,150,0
59150687,DA,Vancouver,0.05714,440,214,210,1374,45,210,0
59150688,DA,Vancouver,0.07691,535,223,208,1288,45,205,0
59150689,DA,Vancouver,0.08999,447,186,175,1605,70,175,0
59150690,DA,Vancouver,0.08682,559,263,245,1547,65,245,0
59150691,DA,Vancouver,0.09139,507,242,228,1383,25,230,0
59150692,DA,Vancouver,0.08124,640,230,222,962,55,220,0
59150693,DA,Vancouver,0.07239,419,169,158,1600,50,160,0
59150694,DA,Vancouver,0.18567,489,186,175,1217,50,175,0
59150695,DA,Vancouver,0.41396,564,244,218,1078,75,220,0
59150696,DA,Vancouver,0.06396,504,175,167,1201,35,165,0
59150697,DA,Vancouver,0.09797,674,277,255,1397,70,255,0
59150698,DA,Vancouver,0.07901,572,241,206,1442,55,205,0
59150699,DA,Vancouver,0.11672,489,210,189,1197,50,185,0
59150700,DA,Vancouver,0.11323,508,190,171,1313,60,175,0
59150701,DA,Vancouver,0.08274,530,241,213,1275,55,215,0
59150702,DA,Vancouver,0.03151,483,218,207,1539,20,210,0
59150703,DA,Vancouver,0.05907,473,189,163,1280,10,165,0
59150704,DA,Vancouver,0.08761,629,262,246,1300,25,245,0
59150705,DA,Vancouver,0.05571,585,319,316,1235,5,315,0
59150706,DA,Vancouver,0.02047,316,184,177,1172,0,175,0
59150707,DA,Vancouver,0.02664,404,242,232,1092,5,230,0
59150708,DA,Vancouver,0.10514,898,430,422,1265,0,425,85
59150709,DA,Vancouver,0.13567,1605,872,850,1148,5,850,325
59150710,DA,Vancouver,0.06767,606,312,282,1300,15,285,0
59150711,DA,Vancouver,0.06896,1032,636,599,1247,0,600,310
59150712,DA,Vancouver,0.04437,472,293,274,1071,0,275,0
59150713,DA,Vancouver,0.07031,470,301,295,1035,25,295,0
59150714,DA,Vancouver,0.01429,245,154,147,1208,0,145,0
59150715,DA,Vancouver,0.0283,476,313,302,737,0,300,0
59150716,DA,Vancouver,0.02879,428,303,285,777,5,285,20
59150717,DA,Vancouver,0.02907,360,219,200,1111,0,200,0
59150718,DA,Vancouver,0.02808,533,306,289,1010,0,290,0
59150719,DA,Vancouver,0.02845,430,298,283,900,5,285,60
59150720,DA,Vancouver,0.07583,559,418,376,1051,0,375,220
59150721,DA,Vancouver,0.02912,433,295,274,987,5,275,0
59150722,DA,Vancouver,0.02928,481,295,272,1027,0,275,0
59150723,DA,Vancouver,0.0448,447,230,219,1085,5,215,0
59150724,DA,Vancouver,0.05672,467,213,195,1313,10,195,0
59150725,DA,Vancouver,0.05663,495,238,212,1252,10,210,0
59150726,DA,Vancouver,0.0564,478,215,195,1312,10,195,0
59150727,DA,Vancouver,0.07828,475,235,213,1096,10,215,0
59150728,DA,Vancouver,0.04305,450,215,212,1256,10,210,0
59150729,DA,Vancouver,0.08505,729,295,276,1375,40,275,0
59150730,DA,Vancouver,0.07182,453,184,163,1003,15,165,0
59150731,DA,Vancouver,0.07745,646,275,255,1391,55,255,0
59150732,DA,Vancouver,0.07647,486,204,177,1252,50,175,0
59150733,DA,Vancouver,0.08846,563,228,201,1133,70,205,0
59150734,DA,Vancouver,0.09328,758,314,292,1296,40,295,0
59150735,DA,Vancouver,0.11873,621,298,273,1102,25,275,0
59150736,DA,Vancouver,0.13102,702,276,264,1102,45,265,0
59150737,DA,Vancouver,0.05587,466,178,154,1281,20,155,0
59150738,DA,Vancouver,0.06142,493,186,179,1322,35,180,0
59150739,DA,Vancouver,0.05725,410,157,146,1522,30,145,0
59150740,DA,Vancouver,0.05955,467,216,187,1597,10,190,0
59150743,DA,Vancouver,0.08788,580,267,236,1056,5,235,0
59150744,DA,Vancouver,0.04275,458,221,207,1240,15,205,0
59150745,DA,Vancouver,0.07172,593,232,212,1431,35,215,0
59150746,DA,Vancouver,0.06435,494,234,216,1016,10,215,0
59150747,DA,Vancouver,0.08682,352,184,180,920,5,180,0
59150750,DA,Vancouver,0.90613,838,400,385,1073,0,385,5
59150751,DA,Vancouver,0.87307,782,379,349,906,20,345,55
59150752,DA,Vancouver,0.03983,300,142,120,1495,45,120,0
59150753,DA,Vancouver,0.02826,271,130,116,1197,20,120,0
59150754,DA,Vancouver,0.04282,456,267,240,923,45,240,0
59150755,DA,Vancouver,0.05163,779,454,413,560,0,410,250
59150756,DA,Vancouver,0.02422,203,109,76,1152,35,75,0
59150757,DA,Vancouver,0.07878,1123,726,631,835,0,630,430
59150758,DA,Vancouver,0.02731,499,261,254,736,0,250,80
59150759,DA,Vancouver,0.04913,478,115,101,901,5,100,0
59150760,DA,Vancouver,0.0312,577,299,287,408,0,285,60
59150761,DA,Vancouver,0.03495,644,228,191,452,0,190,25
59150762,DA,Vancouver,0.0788,785,551,517,723,0,515,320
59150763,DA,Vancouver,0.0304,375,207,188,541,0,185,145
