GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4901: Average monthly shelter costs for rented dwellings ($),v_CA16_409: Single-detached house,v_CA16_408: Occupied private dwellings by structural type of dwelling data,v_CA16_410: Apartment in a building that has five or more storeys
59153246,DA,Vancouver,0.01738,943,698,567,1664,0,565,570
59153249,DA,Vancouver,0.31082,574,177,167,1900,115,165,0
59153250,DA,Vancouver,0.70992,385,138,120,1699,85,120,0
59153251,DA,Vancouver,0.16293,536,189,170,1686,125,170,0
59153252,DA,Vancouver,0.12139,614,267,233,1390,90,230,0
59153253,DA,Vancouver,0.35634,432,189,161,0,125,165,0
59153254,DA,Vancouver,0.24989,420,176,151,1116,85,150,0
59153255,DA,Vancouver,0.20034,631,250,225,0,95,225,40
59153256,DA,Vancouver,0.08849,526,283,257,1627,35,255,0
59153257,DA,Vancouver,0.08972,581,317,294,1696,15,290,0
59153258,DA,Vancouver,0.08979,606,330,319,1596,0,320,65
59153259,DA,Vancouver,0.03412,527,323,315,1226,0,315,0
59153370,DA,Vancouver,0.02412,846,607,594,1265,0,590,430
59153371,DA,Vancouver,0.02493,896,625,584,1258,0,585,420
59153372,DA,Vancouver,0.0306,972,698,682,1299,0,680,390
59153373,DA,Vancouver,0.0317,1113,784,765,1174,0,765,650
59153394,DA,Vancouver,0.05737,1299,924,879,1531,5,880,820
59153400,DA,Vancouver,0.04666,884,594,582,1316,5,580,530
59153464,DA,Vancouver,0.06667,1675,1197,1085,1728,0,1085,1020
59153466,DA,Vancouver,0.25864,604,485,360,1985,0,360,360
59153467,DA,Vancouver,0.01699,932,667,593,1404,0,595,580
59153469,DA,Vancouver,0.03395,1063,523,493,1619,0,495,470
59153470,DA,Vancouver,0.07391,813,346,309,1946,0,310,285
59153471,DA,Vancouver,0.03157,1318,845,732,2238,0,730,690
59153472,DA,Vancouver,0.01662,442,272,257,1872,0,255,235
59153473,DA,Vancouver,0.01713,474,260,247,1994,0,250,230
59153474,DA,Vancouver,0.01606,915,490,433,1848,0,430,400
59153476,DA,Vancouver,0.02603,700,430,388,1587,0,390,385
59153477,DA,Vancouver,0.00811,360,234,210,2040,0,210,200
59153479,DA,Vancouver,0.03378,996,683,532,1789,0,535,535
59153480,DA,Vancouver,0.00887,626,448,371,1353,0,370,370
59153481,DA,Vancouver,0.01486,828,593,481,1849,0,480,470
59153482,DA,Vancouver,0.00972,605,480,335,2065,0,335,320
59153483,DA,Vancouver,0.07594,752,650,438,1709,0,440,395
59153562,DA,Vancouver,0.05242,387,223,190,2324,0,190,155
59153578,DA,Vancouver,0.21666,698,342,262,2012,0,265,225
59153579,DA,Vancouver,0.01661,450,334,333,628,0,335,320
59153580,DA,Vancouver,0.04054,924,678,564,871,0,565,415
59153581,DA,Vancouver,0.03875,846,357,325,697,0,325,265
59153582,DA,Vancouver,0.03707,1078,830,713,888,0,715,575
59153583,DA,Vancouver,0.03968,1093,607,529,1010,0,530,415
59153584,DA,Vancouver,0.09541,1876,1242,1126,1089,0,1130,1005
59153585,DA,Vancouver,0.12778,730,592,525,525,5,525,325
59153586,DA,Vancouver,4.13472,1171,776,729,1579,0,730,620
59153587,DA,Vancouver,0.01525,753,532,509,1340,0,510,510
59153588,DA,Vancouver,0.03286,920,702,672,1181,0,675,475
59153589,DA,Vancouver,0.03276,936,708,683,1128,0,680,455
59153590,DA,Vancouver,0.01758,434,314,311,1205,0,310,165
59153591,DA,Vancouver,0.03845,871,630,589,1336,0,590,490
59153668,DA,Vancouver,0.01589,366,258,246,1305,0,250,245
59153669,DA,Vancouver,0.01711,513,248,239,1071,0,240,235
59153670,DA,Vancouver,0.01683,705,460,456,1208,0,455,370
59153671,DA,Vancouver,0.01569,419,299,285,1287,0,285,170
59153672,DA,Vancouver,0.01604,657,425,423,1304,0,425,370
59153673,DA,Vancouver,0.01789,669,430,424,1291,0,425,230
59153674,DA,Vancouver,0.01726,620,398,396,1335,0,395,255
59153675,DA,Vancouver,0.01768,727,501,495,1215,0,495,435
59153676,DA,Vancouver,0.03101,832,568,556,1257,0,555,270
59153677,DA,Vancouver,0.01536,412,313,258,1237,0,260,160
59153678,DA,Vancouver,0.01743,604,410,407,1041,0,405,345
59153679,DA,Vancouver,0.07212,694,477,465,961,0,465,205
59153680,DA,Vancouver,0.02551,758,569,544,852,0,545,325
59153681,DA,Vancouver,0.02378,966,657,626,1372,0,625,525
59153682,DA,Vancouver,0.05257,741,527,489,1325,0,490,420
59153683,DA,Vancouver,0.03971,1353,928,783,1703,0,785,660
59153684,DA,Vancouver,0.06805,769,525,508,1243,0,505,450
59153685,DA,Vancouver,0.01579,507,303,286,1516,0,290,285
59153686,DA,Vancouver,0.24368,869,499,476,1492,0,480,340
59153687,DA,Vancouver,0.07084,617,355,343,1904,0,345,185
59153688,DA,Vancouver,0.04012,788,378,373,1186,0,375,265
59153689,DA,Vancouver,0.30009,829,370,361,1260,0,360,0
59153690,DA,Vancouver,0.0279,467,222,222,1185,0,220,0
59153691,DA,Vancouver,0.07692,498,334,327,1053,0,325,140
59153692,DA,Vancouver,0.07541,1393,788,755,1579,0,755,380
59153810,DA,Vancouver,0.1117,329,125,106,2568,100,105,0
59153812,DA,Vancouver,0.31269,472,191,160,0,130,160,0
59153814,DA,Vancouver,0.06419,365,128,119,0,30,115,0
59153815,DA,Vancouver,0.09195,692,270,239,1234,70,240,0
59153816,DA,Vancouver,0.0596,408,150,136,1246,35,135,0
59153818,DA,Vancouver,0.13543,788,294,270,914,40,270,0
59153833,DA,Vancouver,0.06924,369,205,179,2209,0,180,150
59153834,DA,Vancouver,0.21809,3714,2350,2023,1920,0,2025,1960
59153835,DA,Vancouver,0.0177,307,195,189,1308,0,185,140
59153836,DA,Vancouver,0.01795,244,158,146,1638,0,145,80
59153838,DA,Vancouver,0.02662,367,255,217,1439,0,220,215
59153839,DA,Vancouver,0.08764,1340,990,955,966,5,955,680
59153843,DA,Vancouver,0.04956,2110,1484,1345,1780,0,1345,1305
59153845,DA,Vancouver,0.41093,3009,2155,1651,1783,0,1650,1645
59153846,DA,Vancouver,0.04913,2012,1410,1318,1460,0,1320,1210
59153847,DA,Vancouver,0.04926,1328,888,844,1443,0,845,745
59153849,DA,Vancouver,0.03473,839,574,498,1202,0,495,495
59153851,DA,Vancouver,0.01573,374,261,231,1650,0,230,215
59153852,DA,Vancouver,0.04951,1203,758,708,1318,0,710,700
59153955,DA,Vancouver,0.03563,656,397,375,1450,5,375,260
59153956,DA,Vancouver,0.04793,954,687,664,1139,5,665,425
59153980,DA,Greater Vancouver A,0.61788,1845,739,672,1885,5,670,145
59153981,DA,Greater Vancouver A,0.10633,1521,781,659,1558,0,655,170
59153986,DA,Vancouver,0.0522,1263,839,725,1955,0,725,715
59153987,DA,Vancouver,0.08638,1333,798,625,2287,0,625,510
59153988,DA,Vancouver,0.053,1175,576,537,1651,0,535,325
59153989,DA,Vancouver,0.03566,501,297,283,1947,0,285,140
59153990,DA,Vancouver,0.03644,704,426,412,1493,5,415,0
59153991,DA,Vancouver,0.11002,1115,627,591,1496,0,590,120
59153994,DA,Vancouver,0.02691,612,463,362,1712,0,360,355
59153995,DA,Vancouver,0.07158,197,123,97,2293,0,100,95
59153996,DA,Vancouver,0.01298,797,425,388,1770,0,385,350
59153997,DA,Vancouver,0.13065,949,723,454,2694,0,455,415
59154001,DA,Vancouver,0.28495,4685,2960,2596,1888,0,2595,2535
59154033,DA,Greater Vancouver A,7.97607,2229,1107,932,1889,0,935,510
59154034,DA,Greater Vancouver A,0.09387,1045,747,494,2293,0,495,400
59154035,DA,Greater Vancouver A,0.04787,530,204,188,2412,0,190,0
59154036,DA,Greater Vancouver A,0.94258,1276,554,514,1679,0,515,250
